"Program Name","Address","Phone","Accreditation Status","Email","lon","lat"
" AMITA
Health/Resurrection Medical Center Program","Resurrection Medical Center 7447 W Talcott Avenue Suite 182
Chicago, IL 60631
","(773) 792-5155
","Continued Accreditation","brian.donohue@amitahealth.org",-87.8145522,41.9876662
" AMITA Health/Saint Joseph Hospital (Chicago) Program","Amita Saint Joseph Hospital 2900 North Lake Shore Drive Chicago, IL 60657
","(312) 337-1982
","Continued Accreditation","alyssa.vesthart@amitahealth.org",-87.6373738,41.9340773
" AMITA
Health/Saints Mary and Elizabeth Medical Center Program","Saints Mary and Elizabeth Medical Center 2233 W. Division
Chicago, IL 60622
","(312) 770-8514
","Continued Accreditation","alicia.vazquez@amitahealth.org",-87.6833168,41.9030347
" AnMed Health (Anderson) Program","Family Medicine Residency Program Oglesby Center
2000 East Greenville Street, Suite 3600
Anderson, SC 29621
","(864) 512-1961
","Continued Accreditation","matthew.cline@anmedhealth.org",-82.629014,34.5455558
" Appalachian Osteopathic Postgraduate Training Institute Consortium/Lake Cumberland Regional Hospital  Program","303 Langdon Street
Somerset, KY 42503
","(606) 451-5504","Continued Accreditation without Outcomes",NA,-84.6181708,37.0862076
" Arkansas College of Osteopathic Medicine/Mercy Program","7301 Rogers Ave Fort Smith, AR 72903 ","(479) 314-6000
","Initial Accreditation","mardi.taylor@mercy.net",-94.3531812,35.3565026
" Arnot Ogden Medical Center Program","200 Madison Ave. Suite 2E
Elmira, NY 14901
","(607) 737-7836
","Continued Accreditation","timothy.baxter@arnothealth.org",-76.7984768,42.0912263
" Arrowhead Regional Medical Center Program","Arrowhead Regional Medical Center Family Medicine Department
400 N Pepper Avenue Colton, CA 92324
","(909) 580-3370
","Continued Accreditation","corrosl@armc.sbcounty.gov",-117.351125,34.0740156
" Ascension Genesys Hospital Program","Ascension Genesys Hospital One Genesys Parkway Suite 2620
Grand Blanc, MI 48439 ","(428) 881-0282
","Continued Accreditation","marissa.rogers@ascension.org",-83.6371878,42.890276
" Ascension Macomb-Oakland Hospital Program","27450 Schoenherr Suite 400
Warren, MI 48088
","(586) 582-7500
","Continued Accreditation with Warning","rachel.nixon@ascension.org",-82.9862247,42.4951421
" Ascension Providence/MSUCHM Program","Providence Family Medicine Residency 22250 Providence Dr
Ste 557
Southfield, MI 48075
","(248) 849-3447
","Continued Accreditation","Annie.Kaster@ascension-external.org",-83.2058719,42.4564108
" Ascension St John Hospital Program","Ascension St John Hospital Family Medicine 24911 Little Mack
St Clair Shores, MI 48080 ","(586) 447-9064
","Continued Accreditation","elizabeth.lewerenz@ascension.org",-82.9078796,42.4792708
" Ascension St Vincent Hospital Indianapolis Program","Ascension St Vincent Family Medicine Residency
8414 Naab Road, Suite 120
Indianapolis, IN 46260
","(317) 338-7598
","Continued Accreditation","marton.ramirez@ascension.org",-86.1993058,39.9082283
" Atlantic Health System/Morristown Medical Center Program","100 Madison Ave
Box 157
Morristown, NJ 07960
","(973) 971-4331
","Continued Accreditation","mmcfmresidency@atlantichealth.org",-74.4650459,40.7891384
" Atlantic Health System/Overlook Medical Center Program","Overlook Family Medicine Residency Program
33 Overlook Road
Suite 103
Summit, NJ 07901
","(908) 522-5289
","Continued Accreditation","Joseph.tribuna@atlantichealth.org",-74.3530504,40.712923
" AtlantiCare Regional Medical Center Program","2015 Pacific Ave Atlantic City, NJ 08401 ","(609) 441-7099
","Continued Accreditation without Outcomes","Becky.Smith@atlanticare.org",-74.4353603,39.3574519
" Atrium Health Cabarrus Program","Cabarrus Family Medicine Residency Program
270 Copperfield Boulevard
Suite 202
Concord, NC 28025
","(704) 403-0473
","Continued Accreditation","robert.lambert@atriumhealth.org",-80.5991696,35.4457245
" Atrium Health Navicent The Medical Center/Mercer University School of Medicine Program","Medical Center of Central Georgia Family Health Center
3780 Eisenhower Parkway
Macon, GA 31206
","(478) 633-0550
","Continued Accreditation","christine.epps@atriumhealth.org",-83.703771,32.816008
" Aultman Hospital/NEOMED Program","Aultman Family Medicine Residency Program
2600 Sixth Street SW Canton, OH 44710
","(330) 363-1147
","Continued Accreditation","Amanda.Mace@aultman.com",-81.4035536,40.7959671
" Aurora Health Care (Elkhorn) Program","Aurora Lakeland Family Medicine Residency Aurora Lakeland Medical Center
W3985 County Road NN Elkhorn, WI 53121
","(262) 741-2121
","Continued Accreditation","stephanie.dunaway@aah.org",-88.4963168,42.6615077
" Aurora Health Care (Milwaukee) Program","Aurora St Luke's Family Medicine Residency 2801 W Kinnickinnic River Pkwy
Medical Office Building Suite 250 Milwaukee, WI 53215
","(414) 649-7909
","Continued Accreditation","fp.residency@aurora.org",-87.9509411,42.9893671
" Baptist Health - Deaconess Madisonville Program","Baptist Health Madisonville Family Medicine Residency
200 Clinic Drive
Madisonville, KY 42431
","(270) 825-6688
","Continued Accreditation","famdoc@bhsi.com",-87.4937392,37.3383819
" Baptist Health - UAMS Program","3201 Springhill Drive
Suite 200
North Little Rock, AR 72117 ","(501) 534-4330
","Continued Accreditation without Outcomes","dorothy.leonard@baptist-health.org",-92.2189708,34.7824235
" Baptist Memorial Medical Education (Memphis) Program","Family Medicine Residency Program Graduate Medical Education
6025 Walnut Grove Road, Suite 417
Memphis, TN 38120
","(901) 226-1350
","Continued Accreditation","betty.warner@bmhcc.org",-89.8590187,35.1285419
" Baptist Memorial Medical Education (Southaven) Program","7601 Southcrest Pkwy
Southaven, MS 38671
","(901) 226-1350
","Initial Accreditation","gme@bmhcc.org",-89.9968805,34.9697953
" Baptist Outreach Services (Montgomery) Program","Montgomery Family Medicine Residency Program
4371 Narrow Lane Rd #100
Montgomery, AL 36116
","(334) 747-7843
","Continued Accreditation","mfmrp@baptistfirst.org",NA,NA
" Baton Rouge General Medical Center Program","Baton Rouge General Medical Center 3401 North Boulevard
Suite 200
Baton Rouge, LA 70806 ","(504) 451-3867
","Continued Accreditation","fmrp@brgeneral.org",-91.1534448,30.4486036
" Bayfront Health St Petersburg Program","Bayfront Health Family Care FHC 3rd Floor
700 Sixth Street South
St. Petersburg, FL 33701-4815 ","(727) 893-6891
","Continued Accreditation","ellen.james@bayfrontstpete.com",-82.6412283,27.7629083
" Bayhealth Medical Center Program","640 South State Street Dover, DE 19901
","(302) 744-6808
","Initial Accreditation","fmresidency@bayhealth.org",-75.5233395,39.1512074
" Baylor College of Medicine (St. Luke’s Health-East Texas) Program","1201 W Frank Ave Lufkin, TX 75904
","(713) 798-4491
","Initial Accreditation","etw@bcm.edu",-94.7421221,31.3363231
" Baylor College of Medicine Program","Baylor College of Medicine
Dept of Family & Community Med 3701 Kirby Drive, Suite 600
Houston, TX 77098
","(713) 798-4491
","Continued Accreditation","fcmresidency@bcm.edu",-95.4028915,29.7095844
" Baylor Scott and White Medical Center - Round Rock Program","300 University Blvd Round Rock, TX 78665 ","(517) 862-0219
","Continued Accreditation","Patricia.LopezGutierrez@BSWHealth.org",-97.6846195,30.5634437
" Baylor University Medical Center Program","Baylor University Medical Center 3500 Gaston Avenue
Dallas, TX 75246
","(469) 800-4130
","Continued Accreditation","kami.harris@bswhealth.org",-96.7778634,32.7897193
" Baystate Franklin Medical Center Program","48 Sanderson St
greenfield, MA 01301
","(303) 584-7913","Initial Accreditation",NA,-72.5939566,42.5947396
" Beaumont Health (Farmington Hills) Program","Beaumont Hospital, Farmington Hills 28100 Grand River Ave.
South Medical Building, Suite 313 Farmington Hills, MI 48336-5933 ","(947) 521-7150
","Continued Accreditation","lauren.morrison@beaumont.org",-83.3247439,42.4442967
" Beaumont Health (Grosse Pointe) Program","Beaumont Hospital, Grosse Pointe 468 Cadieux Road
Grosse Pointe, MI 48230 ","(586) 498-4400
","Continued Accreditation","Janis.Fleck@beaumont.org",-82.9136009,42.3833628
" Beaumont Health (Troy) Program","Beaumont Hospital, Troy
Family Medicine Residency Program, Troy 44250 Dequindre Road
Sterling Heights, MI 48314 ","(248) 964-0415
","Continued Accreditation","David.Lick@beaumont.edu",-83.0901789,42.6173887
" Beaumont Health (Wayne) Program","Beaumont Hospital, Wayne 33155 Annapolis Avenue
Wayne, MI 48184
","(734) 467-2483
","Continued Accreditation","karen.weaver@beaumont.org",-83.3646046,42.2730307
" Bella Vista Hospital Program","Bella Vista Hospital PO Box 1750
Mayaguez, PR 00681
","(787) 834-6000
","Continued Accreditation","bvfamilymedicine@gmail.com",-67.1192192,18.1868275
" Bon Secours Richmond Health System (Blackstone Rural) Program","Bon Secours Richmond Health System 213 N Main Street
Blackstone, VA 23824
","(804) 739-6142
","Continued Accreditation","victor_agbeibor@bshsi.org",-77.9968032,37.082695
" Borinquen Health Care Center, Inc Program","3601 Federal Highway
Miami, FL 33137
","(305) 576-6611
","Continued Accreditation without Outcomes","JD@centerforhaitianstudies.org",-80.1906014,25.8108295
" Boston University Medical Center Program","Boston Medical Center Dowling 5 South
One Boston Medical Center Place Boston, MA 02118
","(617) 414-4465
","Continued Accreditation","family.medicine@bmc.org",-71.0738143,42.3345039
" Broadlawns Medical Center Program","Broadlawns Medical Center 1801 Hickman Road
Des Moines, IA 50314 ","(515) 282-2487
","Continued Accreditation","lseveridt@broadlawns.org",-93.6419501,41.6161853
" BronxCare Health System Program","Bronx-Lebanon Hosp. - Family Medicine Residency
1276 Fulton Aveune - Fourth Floor Bronx, NY 10456
","(917) 327-8686","Continued Accreditation",NA,-73.9027904,40.831415
" Brooklyn Hospital Center Program","The Brooklyn Hospital Center 121 DeKalb Avenue
Brooklyn, NY 11201-5425
","(718) 250-8817
","Continued Accreditation","dadavidson@tbh.org",-73.9780268,40.6909388
" Broward Health Program","1600 S. Andrews Avenue Ft. Lauderdale, FL 33316 ","(954) 712-6356
","Initial Accreditation","btye@nova.edu",-80.1405904,26.1018675
" Cahaba Medical Care Program","405 Belcher Street
Centreville, AL 35042
","(205) 277-2395
","Initial Accreditation","brittany.shanks@cahabamedicalcare.com",-87.1473544,32.9503261
" Cahaba Medical Care/University of Alabama Medical Center Program","Cahaba UAB Family Medicine Residency 405 Belcher Street
Centreville, AL 35042
","(205) 277-2395
","Continued Accreditation","apply@cahabamedicalcare.com",-87.147279,32.9503292
" California Hospital Medical Center (Dignity Health) Program","California Hospital Medical Center 1401 South Grand Avenue
Attn: Graduate Medical Education Los Angeles, CA 90015
","(213) 742-5572
","Continued Accreditation with Warning","GMECHMC@DignityHealth.org",-118.2662154,34.0375842
" Campbell University (Conway) Program","300 Singleton Ridge Road Conway, SC 29526
","(843) 347-8156
","Initial Accreditation","PRichardson@cmc-sc.com",-79.0017843,33.78555
" Campbell University Program","300 West 27th Street Lumberton, NC 28358
","(910) 272-1478
","Continued Accreditation without Outcomes","Locklt09@srmc.org",-79.0118523,34.6370791
" Campbell University/Harnett Health Program","215 Brightwater Dr Attn: GME Dept Lillington, NC 27546
","(910) 892-1000
","Continued Accreditation","regina.braybrown@harnetthealth.org",-78.8083952,35.4252771
" Campbell University/Sampson Regional Medical Center Program","607 Beaman Street
Clinton, NC 28328
","(910) 596-5421
","Continued Accreditation","jmiller@sampsonrmc.org",-78.3253798,35.0067773
" Capital Health Regional Medical Center Program","1 Capital Way
Pennington, NJ 08534
","(609) 394-4093","Initial Accreditation",NA,-74.8034535,40.2919868
" Carilion Clinic- Virginia Tech Carilion School of Medicine Program","Carilion Family Medicine - Roanoke/Salem 1314 Peters Creek Road, NW
Roanoke, VA 24017
","(540) 562-5703
","Continued Accreditation","mgsweet@carilionclinic.org",-80.0081631,37.300052
" Carle Foundation Hospital Program","611 W. Park St. Urbana, IL 61801
","(217) 383-4665
","Continued Accreditation","april.brown4@carle.com",-88.2138667,40.1178765
" Carle Foundation Hospital/Carle BroMenn Medical Center Program","1300 Franklin Ave.
Suite 110
Normal, IL 61761
","(309) 268-3502
","Continued Accreditation without Outcomes","todd.kettering@carle.com",-88.9906636,40.4971344
" Carolinas Medical Center Program","Carolinas Medical Center
Family Medicine Residency Program
P.O. Box 32861 Charlotte, NC 28207 ","(704) 304-7131
","Continued Accreditation","Dellyse.Bright@atriumhealth.org",-80.8213177,35.2103857
" Case Western Reserve University/University Hospitals Cleveland Medical Center Program","University Hospitals Cleveland Medical Center
Family Medicine, Bolwell 1200 11100 Euclid Avenue
Cleveland, OH 44106-5036
","(216) 844-3791
","Continued Accreditation","tamer.said@uhhospitals.org",-81.6046402,41.5057928
" Center for Family Medicine (Pierre) Program","Pierre Rural Family Medicine Residency Sanford Clinic
1115 East 20th Street Sioux Falls, SD 57105 ","(605) 575-1642
","Continued Accreditation without Outcomes","mark.huntington@usd.edu",-96.7120179,43.5345002
" Center for Family Medicine (Sioux Falls) Program","Sioux Falls Family Medicine Residency 1115 E 20th Street
Sioux Falls, SD 57105 ","(605) 575-1644
","Continued Accreditation","Mark.Huntington@usd.edu",-96.7120179,43.5345002
" Centra Health Program","Lynchburg Family Medicine Residency 2323 Memorial Ave., Suite 10
Lynchburg, VA 24501
","(434) 200-5200
","Continued Accreditation","patty.irwin@centrahealth.com",-79.1709454,37.4052612
" Central Iowa Health System (Iowa Lutheran Hospital) Program","Iowa Lutheran Hospital Family Medicine Residency Program
840 East University Avenue Des Moines, IA 50316
","(515) 265-6854
","Continued Accreditation","lindsey.kain@unitypoint.org",-93.6070985,41.6007076
" Central Maine Medical Center Program","Central Maine Medical Center 76 High Street
Lewiston, ME 04240
","(207) 795-2816","Continued Accreditation",NA,-70.2156989,44.1023259
" Central Michigan University College of Medicine Program","Central Michigan University College of Medicine
1000 Houghton Avenue
Saginaw, MI 48602
","(989) 746-7833
","Continued Accreditation","letzk1ca@cmich.edu",-83.9551198,43.4295169
" Charles R Drew University of Medicine and Science, College of Medicine Program","Charles R Drew University College of Medicine
1731 E 120th Street Los Angeles, CA 90059 ","(323) 563-9381
","Continued Accreditation without Outcomes","gmeoffice@cdrewu.edu",-118.242526,33.9256333
" Charleston Area Medical Center/West Virginia University (Charleston Division) Program","West Virginia University (Charleston Division) Robert C. Byrd Clinical Teaching Center 3200 MacCorkle Avenue, 5th Floor Charleston, WV 25304
","(304) 388-4620
","Continued Accreditation","familymed@camc.org",-81.6043107,38.3302019
" Christ
Hospital/University of Cincinnati College of Medicine Program","The Christ Hosp/Univ of Cincinnati College of Medicine Program
Family Medicine Residency Program 2123 Auburn Avenue, Suite 340
Cincinnati, OH 45219
","(517) 256-7044
","Continued Accreditation","megan.rich@uc.edu",-84.509173,39.120293
" Christiana Care Health Services Program","Christiana Care Health System Family Medicine Center
1401 Foulk Road, Suite 100 B
Wilmington, DE 19803
","(302) 477-3318
","Continued Accreditation","ekavanaugh@christianacare.org",-75.5239395,39.8008727
" CHRISTUS
Health/Santa Rosa Program","CHRISTUS Santa Rosa Family Medicine Residency Program
11130 CHRISTUS Hills
Medical Plaza 3, Suite 311 San Antonio, TX 78251  ","(210) 885-6259
","Continued Accreditation","christine.higgins@christushealth.org",-98.6971617,29.4649778
" CHRISTUS
Health/Texas A&M College of Medicine/Spohn Hospital Program","CHRISTUS Spohn Hospital Corpus Christi - Shoreline
600 Elizabeth St. 9B Corpus Christi, TX 78404 ","(361) 861-1861
","Continued Accreditation","denise.mireles@christushealth.org",-97.3948435,27.778251
" Clarion Hospital Program","Clarion Hospital One Hospital Drive Clarion, PA 16214
","(814) 226-2500
","Continued Accreditation","tammy.huey2@butlerhealthsystem.org",-79.397693,41.1927583
" Cleveland Clinic Foundation Program","Center for Family Medicine
Lakewood Family Health Center/Cleveland Clinic
14601 Detroit Avenue
Lakewood, OH 44107
","(216) 237-5671
","Continued Accreditation","fmresidency@ccf.org",-81.7971982,41.4847793
" Clinica Sierra Vista
- Bakersfield Program","7800  Niles Street
Bakersfield, CA 93306-4937
","(661) 635-3050
","Continued Accreditation","carol.stewart@clinicasierravista.org",-118.918018,35.3769949
" Community Health Care Program","1202 Martin Luther King Jr. Way Tacoma, WA 98405
","(253) 441-4742
","Continued Accreditation","fmresidency@commhealth.org",-122.4518308,47.2507734
" Community Health Network Program","Community Health Network, Indianapolis 10122 East 10th Street, Suite 100
Indianapolis, IN 46229
","(317) 355-2643
","Continued Accreditation","fpres@ecommunity.com",-85.9877526,39.7829975
" Community Health Network, Inc. Program","533 E. County Line Road Suite 101
Greenwood, IN 46143
","(317) 957-9050
","Continued Accreditation","gsparks@ecommunity.com",-86.0950759,39.6342423
" Community Health of Central Washington Program","Central Washington Family Medicine Residency
1806 W Lincoln Ave Yakima, WA 98902
","(208) 559-3235
","Continued Accreditation","cwfmr@chcw.org",-120.5340457,46.6028372
" Community Health of South Florida, Inc. (CHI) Program","Community Health of South FL. Inc 10300 SW 216 Street
Miami, FL 33190
","(305) 253-5102
","Continued Accreditation","ephilippe@chisouthfl.org",-80.3577898,25.5656019
" Community Memorial Health System Program","147 N Brent St Ventura, CA 93003
","(805) 948-5698
","Continued Accreditation","butz@cmhshealth.org",-119.2577445,34.2742092
" Concord Hospital/New Hampshire- Dartmouth Family Medicine Program","NH Dartmouth Family Medicine Residency Program
Concord Hospital 250 Pleasant Street
Concord, NH 03301
","(603) 227-7000
","Continued Accreditation","nhdfpr@crhc.org",-71.5629877,43.1977399
" Cone Health Program","Moses H. Cone Memorial Hospital Family Practice Center
1125 North Church Street Greensboro, NC 27401
","(336) 832-8468","Continued Accreditation",NA,-79.7845347,36.0917079
" Conemaugh Memorial Medical Center Program","Conemaugh Memorial Medical Center 1086 Franklin Street
Johnstown, PA 15905
","(814) 534-9364
","Continued Accreditation","jspencer@conemaugh.org",-78.9192261,40.3051172
" Conroe Medical Education Foundation Program","Conroe Family Medicine Residency Program 605 South Conroe Medical Drive
Conroe, TX 77304
","(936) 523-5247
","Continued Accreditation","jfaulkner@lonestarfamily.org",-95.471432,30.2854351
" Contra Costa Regional Medical Center Program","Contra Costa Regional Medical Center 2500 Alhambra Avenue
Martinez, CA 94553
","(925) 370-5464
","Continued Accreditation","brian.johnson@cchealth.org",-122.1328513,38.0066858
" Conway Regional Health System Dardanelle Program","200 N 3rd St Dardanelle, AR 72834
","(501) 329-3831
","Initial Accreditation","gme@conwayregional.org",-93.1564795,35.2204635
" Conway Regional Health System Program","Conway Regional Medical Center/Conway Regional Health System
2302 College Avenue
Conway, AR 72034
","(501) 329-3831
","Initial Accreditation","sarah.robertson@conwayregional.org",-92.457605,35.0861252
" Cook County Health and Hospitals System Program","Cook County Family Medicine Residency Program
Professional Building 1950 W. Polk Street Chicago, IL 60612
","(312) 864-5320
","Continued Accreditation","gyfloyd@cookcountyhhs.org",-87.6754047,41.8717744
" Cooper Medical School of Rowan University/Cooper University Hospital Program","One Cooper Plaza Camden, NJ 08103
","(856) 757-7790","Initial Accreditation",NA,-75.118606,39.9412414
" Cornerstone Care Teaching Health Center Program","120 Locust Ave Ext Mount Morris, PA 15349 ","(724) 324-2629
","Continued Accreditation","awarren@cornerstonecare.com",-80.0599972,39.7346607
" CoxHealth Program","Cox Family Medicine Residency 1423 N Jefferson Ave Ste A100 Springfield, MO 65802
","(417) 269-8787
","Continued Accreditation","kyle.griffin@coxhealth.com",-93.289492,37.225322
" Creighton University School of Medicine (Omaha) Program","Creighton University Medical Center Department of Family Medicine 7710 Mercy Road, Suite 202
Omaha, NE 68124-2353
","(402) 280-4111
","Continued Accreditation","michaelgreene@creighton.edu",-96.0307682,41.2395306
" Creighton University School of Medicine (Phoenix) Program","South Central Medical Center 33 West Tamarisk Street Phoenix, AZ 85041
","(602) 406-3153
","Continued Accreditation","douglas_jones@dmgaz.org",-112.075115,33.403621
" Crozer-Chester Medical Center Program","Crozer-Keystone Family Medicine Residency Program
1260 E. Woodland Avenue, Suite 200
Springfield, PA 19064
","(610) 690-4471
","Continued Accreditation","fmresidency@crozer.org",-75.3295964,39.9087512
" Darnall Army Medical Center Program","Carl R. Darnall Army Medical Center Family Medicine Residency Program 36065 Santa Fe Avenue
Fort Hood, TX 76544 ","(524) 553-6253
","Continued Accreditation","drew.c.baird.mil@mail.mil",-97.7761658,31.1268636
" David Grant Medical Center Program","David Grant USAF Medical Center 60th Medical Operations Sqd/SGOF 101 Bodin Circle
Travis AFB, CA 94535 ","(443) 293-6804
","Continued Accreditation","david.a.klein26.mil@mail.mil",-121.9637079,38.2699948
" Deaconess Hospital Program","Deaconess Family Medicine Residency 415 W. Columbia St., Suite 110
Evansville, IN 47710
","(812) 450-3737
","Continued Accreditation","residents@deaconess.com",-87.5705119,37.9851265
" Desert Regional Medical Center Program","1150 N. Indian Canyon Drive Palm Springs, CA 92262
","(951) 743-2882
","Initial Accreditation","taek.kim@tenethealth.com",-116.5434839,33.8385716
" DeTar Healthcare System Program","501 E. Colorado Street Victoria, TX 77901
","(361) 582-0861
","Continued Accreditation with Warning","ontai@tamu.edu",-96.9992742,28.8090724
" Detroit Medical Center (Sinai Grace)/Michigan State University Program","DMC/WSU (Sinai Grace) Family Medicine Residency Program
DMC Grand River Health Center 19460 Grand River Ave
Detroit, MI 48223
","(313) 433-8434
","Continued Accreditation with Warning","Dtreece@dmc.org",-83.055094,42.3535426
" Detroit Wayne County Health Authority (Authority Health) GME Consortium Program","3031 West Grand Blvd. Suite 600
Detroit
Detroit, MI 48202
","(313) 346-5235
","Initial Accreditation with Warning","csmart-gme@authorityhealth.org",-83.0762186,42.3700752
" Dignity Health Methodist Hospital of Sacramento Program","Methodist Hospital of Sacramento 7500 Hospital Drive
Sacramento, CA 95823
","(916) 423-6009
","Continued Accreditation","Michelle.costa@dignityhealth.org",-121.4162872,38.4632385
" Dignity Health Methodist Hospital of Sacramento/Sierra
Nevada Memorial Hospital
Program","155 Glasson Way Grass Valley, CA 95945 ","(530) 274-6871
","Initial Accreditation","MFMResidencyProgram@dignityhealth.org",-121.0507993,39.2260629
" Dignity Health Northridge Hospital Medical Center Program","Dignity Health Family Medicine Residency at Northridge
18460 Roscoe Blvd 2nd Floor
Northridge, CA 91325
","(818) 993-4054
","Continued Accreditation","christopher.kuhlman@commonspirit.org",-118.53449,34.2200204
" Dr Ramon E
Betances Hospital-Mayaguez Medical Center Program","Dr Ramon E Betances Hospital-Mayaguez Medical Center
Avenida Hostos 410 Barrio Sabalos Mayaguez, PR 00681
","(787) 652-9200
","Continued Accreditation","cristina.morales@mayaguezmedical.com",-67.152459,18.180706
" Duke University Hospital Program","Duke University Medical Center
Dept of Family Medicine and Community Health
Box 3886
Durham, NC 27710
","(919) 681-3028","Continued Accreditation",NA,-78.9387241,36.0038131
