"Program Name","Address","Phone","Accreditation Status","Email","lon","lat"
" Case Western Reserve University/University Hospitals Cleveland Medical Center Program","University Hospitals Cleveland Medical Center
10524 Euclid Avenue 8th Floor
Cleveland, OH 44106
","(216) 844-7503
","Continued Accreditation","Cathleen.Cerny@uhhospitals.org",-81.6139114,41.5020771
" Centerstone Program","Centerstone 391 6th Ave W
Bradenton, FL 34205
","(941) 782-4200
","Initial Accreditation with Warning","Sandy.Chan@centerstone.org",-82.5673067,27.4929034
" Central Michigan University College of Medicine Program","1000 Houghton Avenue
Saginaw, MI 48602
","(989) 746-7611
","Continued Accreditation","child1dv@cmich.edu",-83.9548399,43.429443
" Charles R Drew University of Medicine and Science, College of Medicine Program","1731 East 120th Street Los Angeles, CA 90059 ","(323) 233-0425
","Continued Accreditation","gmeoffice@cdrewu.edu",-118.2428859,33.9254883
" Charleston Area Medical Center/West Virginia University (Charleston Division) Program","WVU Health Sciences Center-Charleston Division
3200 MacCorkle Ave. SE, 5th Floor Department of Behavorial Medicine/Psychiatry
Charleston, WV 25304
","(304) 388-1015
","Continued Accreditation","tiffany.sparks@camc.org",-81.6028135,38.3300175
" Chicago Medical School/Rosalind Franklin University of Medicine & Science Program","Department of Psychiatry & Behavioral Sciences
RFUMS/The Chicago Medical School 3333 Green Bay Road
North Chicago, IL 60064 ","(847) 578-8716
","Continued Accreditation","paul.hung@rosalindfranklin.edu",-94.6105972,39.0548028
" Christiana Care Health Services Inc Program","501 West 14th Street PO Box 1668
Wilmington, DE 19899-1668
","(302) 320-2100
","Continued Accreditation without Outcomes","mustafa.mufti@christianacare.org",-75.5500504,39.7509718
" Citrus Health Network, Inc. Program","4175 West 20th Avenue Hialeah, FL 33012
","(786) 441-5361
","Continued Accreditation","Education@citrushealth.com",-80.3215718,25.8596771
" Cleveland Clinic Foundation Program","The Cleveland Clinic Foundation 9500 Euclid Avenue, P57 Cleveland, OH 44195
","(216) 445-9345
","Continued Accreditation","psyched@ccf.org",-81.6197326,41.5031012
" Coliseum Medical Centers Program","380 Hospital Drive Building A
Graduate Medical Education, Suite 430 Macon, GA 31217
","(585) 737-3082
","Continued Accreditation","emory.dunn@piedmont.org",-83.6179646,32.8473505
" Community Health Network, Inc. Program","6950 Hillsdale Court
Indianapolis, IN 46250
","(317) 621-3844","Continued Accreditation",NA,-86.0472638,39.8975435
" Community Health of South Florida, Inc. (CHI) Program","Community Health of South Florida, Inc. Brodes H. Hartley, Jr. Teaching Health Center
10300 SW 216th Street Miami, FL 33190
","(305) 252-5511
","Continued Accreditation","mriveron@chisouthfl.org",-80.3577898,25.5656019
" Community Memorial Health System Program","147 N. Brent St. Ventura, CA 93003
","(805) 948-5698
","Initial Accreditation","jvlaskovits@cmhshealth.org",-119.2577445,34.2742092
" Cone Health Program","700 Walter Reed Drive Greensboro, NC 27403
","(336) 832-9600
","Initial Accreditation","debra.millikan@conehealth.com",-79.8229881,36.0828073
" Cooper Medical School of Rowan University/Cooper University Hospital Program","Cooper University Hospital 401 Haddon Avenue
Camden, NJ 08103
","(856) 757-7799
","Continued Accreditation","rile-viktoria@cooperhealth.edu",-75.1169561,39.9415299
" Creedmoor Psychiatric Center Program","Creedmoor Psychiatric Center 79-25 Winchester Boulevard Building 40, Unit 2A
Queens Village, NY 11427 ","(718) 264-3664
","Continued Accreditation","anca.amighi@omh.ny.gov",-73.7312717,40.7409298
" Creighton University School of Medicine (Omaha) Program","Department of Psychiatry
Creighton University Education Building 7710 Mercy Road, Suite 601
Omaha, NE 68124-2370
","(402) 818-2250
","Continued Accreditation","avanwink@creighton.edu",-95.9650879,41.2600334
" Creighton University School of Medicine (Phoenix) Program","Valleywise Health
Valleywise Behavioral Health Center-Mesa 570 W Brown Rd
Mesa, AZ 85201
","(480) 344-2050
","Continued Accreditation","oliviapearce@creighton.edu",-111.8449221,33.4355461
" Darnall Army Medical Center Program","36005 Santa Fe Ave
Attn: GME Psychiatry Residency Fort Hood, TX 76544
","(254) 553-6617
","Initial Accreditation","christian.c.schrader.mil@mail.mil",-97.7955227,31.1266902
" Dartmouth- Hitchcock/Mary Hitchcock Memorial Hospital Program","Dartmouth-Hitchcock Medical Center One Medical Center Drive
Lebanon, NH 03756
","(603) 650-4725
","Continued Accreditation","gillian.l.sowden@hitchcock.org",-72.2729588,43.6754932
" Delaware Division of Substance Abuse and Mental Health Program","Delaware Psychiatric Center 1901 North DuPont Highway Springer Building
New Castle, DE 19720 ","(302) 255-2913
","Continued Accreditation with Warning","daniel.grimes@delaware.gov",-75.577184,39.7017194
" Detroit Medical Center/Wayne State University Program","WSU Tolan Park Medical Building 3901 Chrysler Service Drive
Suite 5-A
Detroit, MI 48201
","(313) 993-3416
","Continued Accreditation","rbalon@wayne.edu",-83.0514291,42.3524388
" Detroit Wayne County Health Authority (Authority Health) GME Consortium Program","3031 West Grand Blvd. Suite 600
Detroit, MI 48202
","(313) 346-5235
","Continued Accreditation","tcontreras-gme@authorityhealth.org",-83.0762186,42.3700752
" Duke University Hospital Program","Duke Psychiatry Residency Program 3643 N Roxboro St
Durham, NC 27704
","(919) 684-8785
","Continued Accreditation","tanya.wells@duke.edu",-78.9003659,36.0366846
" East Tennessee State University/Quillen College of Medicine Program","East Tennessee State University Box 70567
Johnson City, TN 37614 ","(423) 439-2225
","Continued Accreditation","sweeneyl@etsu.edu",-82.369853,36.3023954
" Eastern Virginia Medical School Program","Eastern Virginia Medical School Graduate Medical Education Office 735 Fairfax Avenue, Suite 1017C Norfolk, VA 23507
","(757) 446-5884
","Continued Accreditation","patelsb@evms.edu",-76.3035708,36.8604506
" Emory University School of Medicine Program","Emory University School of Medicine Department of Psychiatry & Behavioral Sciences
12 Executive Park Drive, Suite 142
Atlanta, GA 30329
","(404) 727-5157","Continued Accreditation",NA,-84.3378849,33.8280019
" Family Health Centers at NYU Langone Program","Family Health Centers at NYU Langone 514 49th Street
Brooklyn, NY 11220
","(718) 630-8431
","Initial Accreditation","Samuel.Stroupe@nyulangone.org",-74.0093745,40.6451428
" Florida Atlantic University Charles E. Schmidt College of Medicine Program","777 Glades Road
BC71 - 340
Boca Raton, FL 33431 ","(561) 334-6240
","Continued Accreditation","Goldmans@health.fau.edu",-80.1004428,26.3732509
" Garnet Health Medical Center Program","707 EAST MAIN STREET MIDDLETOWN, NY 10940
","(845) 333-1763
","Continued Accreditation","PsychiatryResidency@garnethealth.org",-74.3680944,41.4419177
" Gateway Behavioral Health Community Service Board Program","601 E 66th Street Savannah, GA 31405
","(912) 790-6239
","Continued Accreditation","psychresidency@gatewaybhs.org",-81.0968069,32.0299301
" George Washington University Program","GWU Medical Faculty Associates Department of Psychiatry
2120 L Street, NW, Suite 600
Washington, DC 20037
","(202) 741-2893
","Continued Accreditation","bborja@mfa.gwu.edu",-77.047519,38.9035351
" Harlem Hospital Center Program","Harlem Hospital Center 506 Lenox Avenue
Mural Pavilion, 5-174 New York, NY 10037 ","(212) 939-2360
","Continued Accreditation with Warning","uchechukwu.nnamdi@nychhc.org",-73.9395087,40.8143104
" HCA Healthcare LewisGale Medical Center Program","1900 Electric Rd
Salem, VA 24153
","(540) 444-0460
","Initial Accreditation","LGMC.GMEPsych@HCAhealthcare.com",-80.0323075,37.2639343
" HCA Healthcare Sunrise Health Graduate Medical Education Program","Southern Hills Hospital and Medical Center 9260 W. Sunset Road, Suite 110
GME Department
Las Vegas, NV 89148 ","(702) 916-6904
","Initial Accreditation","Michelle.Maiorino@hcahealthcare.com",-115.2949636,36.0723796
" HCA
Healthcare/Mercer University School of Medicine/Orange Park Medical Center Program","2001 Kingsley Ave Orange Park, FL 32073 ","(904) 639-2022
","Continued Accreditation","barbara.gracious@hcahealthcare.com",-81.7378672,30.1661785
" HCA
Healthcare/TriStar Nashville Program","2300 Patterson Street
Nashville, TN 37203
","(615) 342-1000
","Initial Accreditation","jeffrey.anderson3@hcahealthcare.com",-86.8102822,36.1536713
" HCA
Healthcare/Tufts University School of Medicine: Portsmouth Regional Hospital Program","333 Borthwick Ave
Portsmouth, NH 03801
","(718) 920-4796
","Initial Accreditation","christine.keenan@hcahealthcare.com",-70.7902541,43.0648113
" HCA
Healthcare/USF Morsani College of Medicine GME: Largo Medical Center Program","201 14th Street SW Largo, FL 33770
","(727) 588-5704
","Continued Accreditation","sara.lehman@hcahealthcare.com",-82.8038059,27.9144566
" HCA Healthcare: East Florida Division GME: Aventura Hospital and Medical Center Program","20900 Biscayne Blvd
Suite 852
Aventura, FL 33180
","(305) 409-4219
 com","Initial Accreditation","AHMC.PsychiatryResidency@hcahealthcare.",-80.1454176,25.9699432
" HCA Healthcare: East Florida Division GME: University Hospital and Medical Center Program","7201 N University Dr Tamarac, FL 33321
","(954) 724-6540
","Continued Accreditation","Joanne.Fama@hcahealthcare.com",-80.2542607,26.2119682
" HCA HealthONE
Program","Medical Center of Aurora - North 700 Potomac Street
Aurora, CO 80012
","(303) 360-3060
","Initial Accreditation","brittany.george@healthonecares.com",-104.8270643,39.7278868
" Hennepin Healthcare/Regions Hospital Program","Hennepin Healthcare 701 Park Avenue South Mail Code B5.118 Minneapolis, MN 55415
","(651) 254-9413
","Continued Accreditation","scott.a.oakman@healthpartners.com",-93.2620715,44.9724191
" Henry Ford Allegiance Health Program","205 North East Avenue Jackson, MI 49201
","(517) 205-7164
","Initial Accreditation","jsturgi1@hfhs.org",-84.3927443,42.2508449
" Henry Ford Hospital Program","Henry Ford Hospital
Psychiatry Residency Training Program One Ford Place, 1C-09
Detroit, MI 48202
","(313) 874-6611
","Continued Accreditation","redward1@hfhs.org",-83.0753152,42.3639964
" Howard University Program","Howard University Hospital 2041 Georgia Avenue, N.W. Washington, DC 20060
","(202) 865-6613
","Continued Accreditation","d_d_anderson@howard.edu",-77.0211917,38.9176038
" Icahn School of Medicine at Mount Sinai (Beth Israel) Program","Mount Sinai Beth Israel Medical Center First Avenue at 16th Street
Bernstein Pavilion 7th Floor New York, NY 10003
","(212) 420-2435
","Continued Accreditation","daniel.safin@mountsinai.org",-73.9825649,40.7333501
" Icahn School of Medicine at Mount Sinai (Morningside/West) Program","Mount Sinai Morningside/West 1090 Amsterdam Avenue Suite 16B
New York, NY 10025 ","(212) 523-5089
","Continued Accreditation","paul.rosenfield@mountsinai.org",-73.9624123,40.8053902
" Icahn School of Medicine at Mount Sinai (Mount Sinai Hospital) Program","The Mount Sinai Medical Center One Gustave L. Levy Place
Box 1230
New York, NY 10029 ","(212) 659-8902
","Continued Accreditation","antonia.new@mssm.edu",-73.9538459,40.7900357
" Icahn School of Medicine at Mount Sinai (NYC Health and Hospitals: Elmhurst) Program","Icahn School of Medicine at Mount Sinai Elmhurst Hospital Center
79-01 Broadway, Room C10-12 Elmhurst, NY 11373
","(718) 334-3268
","Continued Accreditation","SCHNURD@nychhc.org",-73.8860322,40.7446774
" Indiana University School of Medicine (Indianapolis) Program","Indiana University School of Medicine 355 W. 16th Street
Room 2364
Indianapolis, IN 46202-7176
","(317) 963-7307
","Continued Accreditation","jtsouder@iu.edu",-86.164771,39.787954
" Indiana University School of Medicine (Merrillville) Program","8555 Taft Street
Merrillville, IN 46410
","(219) 736-7232
","Initial Accreditation","kobie.douglas@regionalmentalhealth.org",-87.3634698,41.4634324
" Indiana University School of Medicine (Vincennes) Program","520 S 7th St Vincennes, IN 47591
","(919) 937-3307
","Continued Accreditation","PsychiatryResidency@gshvin.org",-87.5329401,38.6727584
" Institute of Living/Hartford Hospital Program","Institute of Living/Hartford Hospital's Mental Hlth. Network
200 Retreat Avenue
Hartford, CT 06106
","(860) 545-7183
","Continued Accreditation","Nicole.Labowski@hhchealth.org",-72.6821331,41.749671
" Iowa Medical Education Collaborative Program","1111 6th Ave.
Des Moines, IA 50314 ","(515) 271-6300
","Continued Accreditation","skhosravi@mercydesmoines.org",-93.6228884,41.5986713
" Jamaica Hospital Medical Center Program","Jamaica Hospital Medical Center 8900 Van Wyck Expressway Jamaica, NY 11418
","(718) 206-7708
","Continued Accreditation","AChester@jhmc.org",-73.8167613,40.7010611
" Jersey Shore University Medical Center Program","Department of Psychiatry
Jersey Shore University Medical Center 1945 State Route 33, Rosa Pavilion
Neptune, NJ 07753
","(732) 776-4930
","Continued Accreditation","stacy.doumas@hmhn.org",-74.041212,40.2091347
" John Peter Smith Hospital (Tarrant County Hospital District) Program","Tarrant County Hospital District John Peter Smith Hospital 1500 South Main Street
Fort Worth, TX 76104 ","(817) 702-3050
","Continued Accreditation","CHurd@jpshealth.org",-97.3268361,32.7265231
" Johns Hopkins University Program","Johns Hopkins Hospital
600 North Wolfe Street/Meyer 4-181
Baltimore, MD 21287
","(410) 614-4451","Continued Accreditation",NA,-76.5924152,39.2967078
" Kaiser Permanente Northern California (Oakland) Program","275 W. MacArthur Boulevard Oakland, CA 94611
","(510) 882-5441
","Initial Accreditation","Lucas.C.Van-Dyke@kp.org",-122.2585683,37.8235207
" Kaiser Permanente Northern California (San Jose) Program","Kaiser Permanente San Jose Medical Center Department of Psychiatry
6620 Via del Oro, 2nd Floor San Jose, CA 95119
","(408) 972-6501
","Initial Accreditation","kpsjpsyr@kp.org",-121.781477,37.234547
" Kaiser Permanente Southern California Program","Center for Medical Education 17234 Valley Blvd
Bldg A
Fontana, CA 92335
","(909) 427-5603
","Continued Accreditation","kppsychiatryresidency@kp.org",-117.4282674,34.0717394
" Kansas City University GME Consortium (KCU-GME Consortium)/Ozark Center Program","1105 E. 32nd Street Ste. 2
P.O. Box 2526
Joplin, MO 64803-2526
","(417) 347-7603
","Continued Accreditation","nashraf@freemanhealth.com",-94.5035998,37.0555683
" Kaweah Delta Health Care District (KDHCD) Program","Kaweah Delta Health Care District (KDHCD) 400 West Mineral King Avenue
GME Office Visalia, CA 93291
","(559) 624-5221
","Continued Accreditation","kdgme@kdhcd.org",-119.2949582,36.328572
" Kirk Kerkorian School of Medicine at UNLV Program","UNLV School of Medicine, Psychiatry 3014  West Charleston Blvd
Suite 130
Las Vegas, NV 89102 ","(702) 671-6475
","Continued Accreditation","gregory.brown1@unlv.edu",-115.0879899,36.1592195
" Lake Erie College of Osteopathic Medicine Program","5515 Peach St
Erie, PA 16509
","(814) 651-1131
","Continued Accreditation","lmahoney@mch1.org",-80.0922523,42.0742902
" Larkin Community Hospital Program","Larkin Community Hospital 7031 SW 62nd Avenue Departmet of Psychiatry South Miami, FL 33143 ","(305) 284-7659
","Continued Accreditation","gferrer@larkinhospital.com",-80.2931189,25.7055783
" Lehigh Valley Health Network Program","1251 S Cedar Crest Blvd Ste 202a
Allentown, PA 18103
","(610) 402-5766
","Continued Accreditation without Outcomes","katherine_b.martin@lvhn.org",-75.5166634,40.5658703
" Lincoln Medical and Mental Health Center Program","Lincoln Medical and Mental Health Center 234 East 149th Street
Bronx, NY 10451
","(718) 579-4883
","Continued Accreditation","melissa.begolli@nychhc.org",-73.9247762,40.8160855
" Loma Linda University Health Education Consortium Program","Loma Linda University Psychiatry Residency Program
1686 Barton Road
Redlands, CA 92373
","(909) 558-9545
","Continued Accreditation","tilee@llu.edu",-117.2119868,34.0492728
" Los Angeles County-Harbor-UCLA Medical Center Program","Los Angeles County-Harbor-UCLA Medical Center
1000 West Carson Street box 8
Torrance, CA 90509
","(424) 306-6486
","Continued Accreditation","kburgoyne@dhs.lacounty.gov",-118.2918447,33.8307253
" Louisiana State University (Shreveport) Program","Louisiana State University Health Sciences Center
1501 Kings Highway
PO Box 33932
Shreveport, LA 71130
","(318) 675-6619
","Continued Accreditation with Warning","theresa.mcann@lsuhs.edu",-93.760668,32.480598
" Louisiana State University Program","LSU Medical Education & Innovation Center 5246 Brittany Drive
Office 339
Baton Rouge, LA 70808 ","(225) 757-4212
","Continued Accreditation","amcran@lsuhsc.edu",-90.0828159,29.9555202
" Louisiana State University/Ochsner Clinic Foundation Program","Louisiana State University Health Science Center
Department of Psychiatry 1542 Tulane Ave 2nd floor New Orleans, LA 70112 ","(504) 568-7912
","Continued Accreditation","mtowns@lsuhsc.edu",-90.0832621,29.9572962
" Loyola University Medical Center Program","Loyola University Medical Center 2160 South First Avenue Maguire Bldg 1940
Maywood, IL 60153
","(708) 216-6200
","Continued Accreditation","TPONTIKES@lumc.edu",-87.8338614,41.8584608
" Maimonides Medical Center Program","Maimonides Medical Center 4802 Tenth Avenue
Brooklyn, NY 11219
","(718) 283-8823","Continued Accreditation",NA,-73.9986929,40.6396041
" Maine Medical Center Program","Maine Medical Center 22 Bramhall Street
Portland, ME 04102
","(207) 662-2370
","Continued Accreditation","priced@mmc.org",-70.2760544,43.6530598
" Maine Medical Center Program A","22 Bramhall Street
Portland, ME 04102
","(207) 662-2370
","Initial Accreditation","whited2@mmc.org",-70.2767213,43.6527157
" Marshall University School of Medicine Program","Joan C. Edwards School of Medicine, Department of Psychiatry & Behavioral Medicine
1115 20th Street
Second Floor,   Marshall University Huntington, WV 25703
","(304) 691-1511
","Continued Accreditation","brunson1@marshall.edu",-82.4263322,38.409167
" Massachusetts General Hospital/McLean Hospital Program","Massachusetts General Hospital 15 Parkman St, Wang 812
Boston, MA 02114
","(617) 724-8574
","Continued Accreditation","sbeach1@partners.org",-71.0683059,42.3624153
" Mayo Clinic College of Medicine and Science (Rochester) Program","Mayo School of Graduate Medical Education 200 First Street SW
Rochester, MN 55905
","(507) 422-0430
","Continued Accreditation","psychres@mayo.edu",-92.4668056,44.0223789
" McGaw Medical Center of Northwestern University Program","McGaw Medical Center Northwestern University
446 East Ontario 7th Floor, Suite 200 Chicago, IL 60611
","(312) 926-7256
","Continued Accreditation","rlloyd@nm.org",-87.6210265,41.8951187
" Medical College of Georgia Program","Medical College of Georgia 997 St. Sebastian Way Augusta, GA 30912
","(706) 721-6713
","Continued Accreditation","cagibson@augusta.edu",-81.9847094,33.4685594
" Medical College of Wisconsin Affiliated Hospitals (Central Wisconsin) Program","MCW Psychiatry Department Central Wisconsin
1900 Westwood Drive
Suite 3100
Wausau, WI 54401-4106
","(715) 848-4587
","Continued Accreditation","lcotton@mcw.edu",-88.0211651,43.0435728
" Medical College of Wisconsin Affiliated Hospitals (Milwaukee) Program","Medical College of Wisconsin 8701 Watertown Plank Road Milwaukee, WI 53226
","(414) 955-8998
","Continued Accreditation","mpheister@mcw.edu",-88.0211651,43.0435728
" Medical College of Wisconsin Affiliated Hospitals (Northeastern Wisconsin) Program","N.E.W. Psychiatry Program Milo C. Huempfner VA 2851 University Ave
Green Bay, WI 54311 ","(414) 955-8957
","Continued Accreditation","NEWPsychiatry@mcw.edu",-87.9418866,44.522828
" Medical University of South Carolina Program","Medical University of South Carolina Institute of Psychiatry
67 President Street, MSC 865
Charleston, SC 29425
","(843) 792-0192
","Continued Accreditation","psychresidency@musc.edu",-79.9497599,32.7847668
" MedStar
Health/Georgetown University Hospital Program","Georgetown University Hospital 2115 Wisconsin AVE, NW Suite 200
Washington, DC 20007
","(202) 994-5398
","Continued Accreditation","mxa211@gunet.georgetown.edu",-77.0684164,38.9186857
" Meharry Medical College Program","Elam Mental Health Center Meharry Medical College 1005 Dr. D.B. Todd  Jr. Blvd. Nashville, TN 37208
","(615) 327-6606
","Continued Accreditation with Warning","lwilliamson@mmc.edu",-86.8077515,36.1660646
" Memorial Healthcare System, Hollywood, Florida Program","703 North Flamingo Road Pembroke Pines, FL 33028 ","(954) 844-1401
","Continued Accreditation","jsotelo@mhs.net",-80.3119989,26.0133725
" Michigan State University Program","Michigan State University
Department of Psychiatry, East Fee Hall 965 Wilson Road, Room A-233
East Lansing, MI 48824 ","(517) 353-4362
","Continued Accreditation","alyse.ley@hc.msu.edu",-84.4639854,42.7222954
" Mississippi State Hospital Program","3550 Highway 468, W
Building 25
Whitfield, MS 39193
","(601) 351-8000
","Initial Accreditation","gme@msh.ms.gov",-90.0714964,32.2436275
" Montefiore Medical Center/Albert Einstein College of Medicine Program","Montefiore Medical Center/Albert Einstein College of Medicine
Department of Psychiatry & Behavioral Sciences
3331 Bainbridge Avenue
Bronx, NY 10467
","(718) 920-7839
","Continued Accreditation","bleandry@montefiore.org",-73.8467536,40.8409045
" Morehouse School of Medicine Program","Morehouse School of Medicine 720 Westview Drive SW Atlanta, GA 30310
","(404) 756-1440
","Continued Accreditation","decosby@msm.edu",-84.4119581,33.7427835
" Mount Sinai Hospital Medical Center of Chicago Program","645 South Central Avenue Chicago, IL 60644
","(708) 488-4968
","Initial Accreditation","trina.coleman@sinai.org",-87.7636486,41.8721272
" Mount Sinai Medical Center of Florida, Inc Program","4300
Alton Rd
Miami Beach, FL 33140 ","(305) 674-2876
","Continued Accreditation","Jose.Cruzjr@msmc.com",-80.138275,25.8151541
" Mountain Area Health Education Center Program","125 Hendersonville Rd
Asheville, NC 28803
","(828) 254-9494
","Continued Accreditation","steve.buie@mahec.net",-82.5438626,35.5613146
" Nassau University Medical Center Program","Nassau University Medical Center 2201 Hempstead Turnpike
Box 51, 14th Floor
East Meadow, NY 11554 ","(516) 572-5057
","Continued Accreditation with Warning","cioannou@numc.edu",-73.5540616,40.7272159
" National Capital Consortium Program","Walter Reed National Military Medical Center Directorate of Behavioral Health
8960 Brown Drive
Bethesda, MD 20889-5629
","(301) 400-1924
","Continued Accreditation","shauntey.d.williams.civ@mail.mil",-77.0935133,39.0016314
" National Institutes of Health Clinical Center Program","National Institute of Mental Health
NIH Clinical Center, 10/CRC/Room 6-5340 10 Center Drive
Bethesda, MD 20892
","(301) 443-8466","Continued Accreditation",NA,-77.1044561,39.0019296
" Naval Medical Center (Portsmouth) Program","Naval Medical Center
620 John Paul Jones Circle Portsmouth, VA 23708-2197
","(757) 953-5283
","Continued Accreditation","James.L.Hegarty.mil@mail.mil",-76.304804,36.844072
" Naval Medical Center (San Diego) Program","Naval Medical Center 34800 Bob Wilson Drive Suite 108
San Diego, CA 92134-1108 ","(619) 876-8196
","Continued Accreditation","richard.b.wells8.civ@mail.mil",-117.1457219,32.7251044
" New Bridge Medical Center Program","New Bridge Medical Center 230 East Ridgewood Avenue Paramus, NJ 07652
","(201) 967-4134
","Continued Accreditation","jreed@newbridgehealth.org",-74.062969,40.9558765
" New York Medical College (Metropolitan) Program","Metropolitan Hospital Center Room 4M17C
1901 First Avenue New York, NY 10029 ","(212) 423-7061
","Continued Accreditation","richard.gersh@nychhc.org",-73.9443993,40.7848889
